"","geneid","NCBI","literature","GO","gene"
"1",428980,"XP_004942333.2","ADRA2A","","ADRA2A"
"2",396101,"NP_990516.1","AVP","AVP","AVP"
"3",771773,"NP_001103908.1","AVPR1A","AVPR1A","AVPR1A"
"4",395098,"NP_989780.1","","BRINP1","BRINP1"
"5",395368,"NP_989984.1","CGNRH-R","","CGNRH-R"
"6",416783,"XP_001233014.1","COMT","","COMT"
"7",416206,"XP_001231574.1","","CREBRF","CREBRF"
"8",404297,"NP_001116503.1","CRH","","CRH"
"9",427214,"XP_003643006.2","CRHBP","","CRHBP"
"10",374218,"NP_989652.1","CRHR1","","CRHR1"
"11",395105,"NP_989785.1","CRHR2","","CRHR2"
"12",395549,"XP_415429.5","","DBH","DBH"
"13",427633,"NP_001138320.1","DRD1","DRD1","DRD1"
"14",423016,"NP_001136321.1","DRD4","","DRD4"
"15",396099,"XP_015139536.1","ESR1","","ESR1"
"16",395575,"NP_990125.1","ESR2","","ESR2"
"17",396512,"NP_990839.1","FOS","","FOS"
"18",374108,"NP_989588.1","FSHB","","FSHB"
"19",395962,"NP_990410.1","FSHR","","FSHR"
"20",423117,"NP_001138861.1","GAL","","GAL"
"21",427262,"NP_001026598.1","","GNAQ","GNAQ"
"22",770134,"NP_001074346.1","GNRH1","","GNRH1"
"23",427517,"NP_001012627.1","GNRHR","","GNRHR"
"24",428707,"XP_004940707.1","HTR2C","","HTR2C"
"25",424253,"XP_015145468.1","","KALRN","KALRN"
"26",497269,"NP_001012403.1","","MBD2","MBD2"
"27",427684,"XP_015142671.1","MEST","","MEST"
"28",423315,"XP_015143131.1","","NPAS3","NPAS3"
"29",423315,"XP_015143132.1","","NPAS3","NPAS3"
"30",416343,"XP_015149519.1","NR3C1","NR3C1","NR3C1"
"31",428533,"XP_426087.2","","OPRK1","OPRK1"
"32",421644,"XP_003641008.2","OPRM1","","OPRM1"
"33",768516,"XP_004936337.1","OXT","OXT","OXT"
"34",396198,"NP_990593.1","PGR","","PGR"
"35",396453,"NP_990797.2","PRL","PRL","PRL"
"36",395660,"XP_015132722.1","PRLR","","PRLR"
"37",423675,"XP_015134187.1","","PTEN","PTEN"
"38",404747,"XP_015151186.1","SLC6A4","","SLC6A4"
"39",395592,"NP_990136.1","TH","","TH"
"40",396431,"NP_001239150.1","THRB","","THRB"
"41",396323,"NP_001170780.1","VIP","","VIP"
"42",418596,"XP_015127980.1","","ZFX","ZFX"
