"","gene","name","geneid","NCBI"
"1","A2ML1","alpha-2-macroglobulin like 1",418254,"XP_015148230.1"
"2","A4GALT","alpha 1,4-galactosyltransferase (P blood group)",418223,"XP_015145932.1"
"3","A4GNT","alpha-1,4-N-acetylglucosaminyltransferase",429136,"XP_426692.3"
"4","AAAS","aladin WD repeat nucleoporin",100859661,"XP_015128095.1"
"5","AACS","acetoacetyl-CoA synthetase",416811,"NP_001006184.1"
"6","AADACL4","arylacetamide deacetylase like 4",419479,"XP_003642580.3"
"7","AADAT","aminoadipate aminotransferase",428728,"XP_004940979.1"
"8","AAGAB","alpha and gamma adaptin binding protein",415553,"NP_001258457.1"
"9","AAK1","AP2 associated kinase 1",419512,"XP_015152824.1"
"10","AAMDC","adipogenesis associated Mth938 domain containing",425610,"NP_001265029.1"
"11","AAMP","angio associated migratory cell protein",769880,"NP_001073215.1"
"12","AANAT","aralkylamine N-acetyltransferase",396066,"NP_990489.1"
"13","AAR2","AAR2 splicing factor",419118,"NP_001026015.1"
"14","AARS2","alanyl-tRNA synthetase 2, mitochondrial",421436,"NP_001026227.1"
"15","AARSD1","alanyl-tRNA synthetase domain containing 1",420013,"XP_015155116.1"
"16","AASDHPPT","aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase",418975,"NP_001265017.1"
"17","AASS","aminoadipate-semialdehyde synthase",417757,"XP_015137737.1"
"18","AATF","apoptosis antagonizing transcription factor",417653,"NP_001025895.1"
"19","AATK","apoptosis associated tyrosine kinase",422076,"XP_015151102.1"
"20","ABAT","4-aminobutyrate aminotransferase",416642,"XP_004945379.1"
"21","ABCA1","ATP binding cassette subfamily A member 1",373945,"NP_989476.1"
"22","ABCA2","ATP binding cassette subfamily A member 2",426955,"XP_015135093.1"
"23","ABCA3","ATP binding cassette subfamily A member 3",416386,"XP_004945491.2"
"24","ABCA4","ATP binding cassette subfamily A member 4",424490,"XP_015146188.1"
"25","ABCA5","ATP binding cassette subfamily A member 5",417444,"XP_415695.3"
"26","ABCA12","ATP binding cassette subfamily A member 12",424011,"XP_015144789.1"
"27","ABCA13","ATP binding cassette subfamily A member 13",420943,"XP_015137793.1"
"28","ABCB5","ATP binding cassette subfamily B member 5",420606,"XP_015137344.1"
"29","ABCB6","ATP binding cassette subfamily B member 6 (Langereis blood group)",425721,"XP_015145572.1"
"30","ABCB7","ATP binding cassette subfamily B member 7",422326,"XP_420301.1"
"31","ABCB8","ATP binding cassette subfamily B member 8",107055879,"XP_015156455.1"
"32","ABCB9","ATP binding cassette subfamily B member 9",416834,"XP_015131090.1"
"33","ABCB10","ATP binding cassette subfamily B member 10",421537,"XP_015139875.1"
"34","ABCB10","ATP binding cassette subfamily B member 10",421537,"XP_015139876.1"
"35","ABCB11","ATP binding cassette subfamily B member 11",424170,"XP_004942814.2"
"36","ABCC1","ATP binding cassette subfamily C member 1",395416,"NP_001012540.1"
"37","ABCC2","ATP binding cassette subfamily C member 2",423828,"XP_015144307.1"
"38","ABCC3","ATP binding cassette subfamily C member 3",422099,"XP_015151012.1"
"39","ABCC3","ATP binding cassette subfamily C member 3",422099,"XP_015151015.1"
"40","ABCC4","ATP binding cassette subfamily C member 4",418791,"NP_001025990.1"
"41","ABCC5","ATP binding cassette subfamily C member 5",424947,"XP_004943449.1"
"42","ABCC6","ATP binding cassette subfamily C member 6",416600,"XP_015149705.1"
"43","ABCC6","ATP binding cassette subfamily C member 6",416600,"XP_015149706.1"
"44","ABCC8","ATP binding cassette subfamily C member 8",423072,"XP_421005.2"
"45","ABCC9","ATP binding cassette subfamily C member 9",418200,"XP_015147044.1"
"46","ABCC9","ATP binding cassette subfamily C member 9",418200,"XP_015147084.1"
"47","ABCC10","ATP binding cassette subfamily C member 10",421456,"XP_015139257.1"
"48","ABCC13","ATP binding cassette subfamily C member 13 (pseudogene)",418468,"XP_416677.4"
"49","ABCD2","ATP binding cassette subfamily D member 2",417694,"NP_001186324.1"
