MGI Gene/Marker ID	Symbol	Name	Chr	Qualifier	Annotated Term	Context	Proteoform	Evidence	Inferred From	Reference(s)
MGI:87874	Ace	angiotensin I converting enzyme (peptidyl-dipeptidase A) 1	11		regulation of systemic arterial blood pressure by renin-angiotensin			IBA	PTN000053931 	J:265628 	
MGI:87874	Ace	angiotensin I converting enzyme (peptidyl-dipeptidase A) 1	11		regulation of systemic arterial blood pressure by renin-angiotensin			ISO	P12821 	J:164563 	
MGI:1917258	Ace2	angiotensin I converting enzyme (peptidyl-dipeptidase A) 2	X		angiotensin-mediated drinking behavior			ISO	Q9BYF1 	J:164563 	
MGI:1917258	Ace2	angiotensin I converting enzyme (peptidyl-dipeptidase A) 2	X		regulation of systemic arterial blood pressure by renin-angiotensin			ISO	Q9BYF1 	J:164563 	
MGI:3644400	Ace3	angiotensin I converting enzyme (peptidyl-dipeptidase A) 3	11		regulation of systemic arterial blood pressure by renin-angiotensin			IBA	PTN000053931 	J:265628 	
MGI:102806	Acvr2a	activin receptor IIA	2		positive regulation of follicle-stimulating hormone secretion			ISO	RGD:70911 	J:155856 	
MGI:87937	Adrb1	adrenergic receptor, beta 1	19		positive regulation of renin secretion into blood stream			ISO	RGD:2059 	J:155856 	
MGI:87963	Agt	angiotensinogen (serpin peptidase inhibitor, clade A, member 8)	8		angiotensin-mediated drinking behavior			ISO	RGD:2069 	J:155856 	
MGI:87963	Agt	angiotensinogen (serpin peptidase inhibitor, clade A, member 8)	8		angiotensin-mediated vasoconstriction involved in regulation of systemic arterial blood pressure	happens in aorta		IDA		J:56635 	
MGI:87963	Agt	angiotensinogen (serpin peptidase inhibitor, clade A, member 8)	8		brain renin-angiotensin system	has the participant cerebral cortex		IDA		J:103853 	
MGI:87963	Agt	angiotensinogen (serpin peptidase inhibitor, clade A, member 8)	8		brain renin-angiotensin system	has the participant caudate nucleus|has the participant accumbens nucleus|has the participant pallidum		IDA		J:51954 	
MGI:87963	Agt	angiotensinogen (serpin peptidase inhibitor, clade A, member 8)	8		regulation of renal output by angiotensin	regulates a function/process that has the participant metanephros		IMP		J:73163 	
